(E: 0,C: 99) Reloj 17.38701 | Camiones en Cola: 5
(E: 1,C: 0) Reloj 0.87050 | Camiones en Cola: 1
(E: 1,C: 0) Reloj 9.86929 | Camiones en Cola: 2
(E: 1,C: 0) Reloj 9.94052 | Camiones en Cola: 3
(E: 1,C: 0) Reloj 14.90174 | Camiones en Cola: 10
(E: 1,C: 1) Reloj 3.73516 | Camiones en Cola: 1
(E: 1,C: 1) Reloj 14.27456 | Camiones en Cola: 2
(E: 1,C: 1) Reloj 17.24888 | Camiones en Cola: 3
(E: 1,C: 2) Reloj 21.32275 | Camiones en Cola: 1
(E: 1,C: 3) Reloj 10.42090 | Camiones en Cola: 1
(E: 1,C: 3) Reloj 22.28340 | Camiones en Cola: 2
(E: 1,C: 4) Reloj 17.99935 | Camiones en Cola: 1
(E: 1,C: 5) Reloj 4.08099 | Camiones en Cola: 1
(E: 1,C: 5) Reloj 9.94661 | Camiones en Cola: 2
(E: 1,C: 5) Reloj 14.43507 | Camiones en Cola: 3
(E: 1,C: 6) Reloj 2.62374 | Camiones en Cola: 1
(E: 1,C: 6) Reloj 9.43191 | Camiones en Cola: 2
(E: 1,C: 6) Reloj 11.98419 | Camiones en Cola: 3
(E: 1,C: 7) Reloj 2.81877 | Camiones en Cola: 1
(E: 1,C: 7) Reloj 8.71813 | Camiones en Cola: 2
(E: 1,C: 7) Reloj 9.73447 | Camiones en Cola: 3
(E: 1,C: 7) Reloj 16.47343 | Camiones en Cola: 5
(E: 1,C: 8) Reloj 0.41385 | Camiones en Cola: 1
(E: 1,C: 8) Reloj 0.84282 | Camiones en Cola: 2
(E: 1,C: 8) Reloj 9.55093 | Camiones en Cola: 4
(E: 1,C: 8) Reloj 10.26139 | Camiones en Cola: 5
(E: 1,C: 8) Reloj 12.61900 | Camiones en Cola: 8
(E: 1,C: 8) Reloj 13.94708 | Camiones en Cola: 10
(E: 1,C: 9) Reloj 7.16066 | Camiones en Cola: 1
(E: 1,C: 9) Reloj 8.15590 | Camiones en Cola: 2
(E: 1,C: 9) Reloj 9.07788 | Camiones en Cola: 3
(E: 1,C: 10) Reloj 0.47880 | Camiones en Cola: 1
(E: 1,C: 10) Reloj 1.35168 | Camiones en Cola: 2
(E: 1,C: 10) Reloj 4.95572 | Camiones en Cola: 3
(E: 1,C: 10) Reloj 11.89417 | Camiones en Cola: 9
(E: 1,C: 11) Reloj 9.13403 | Camiones en Cola: 1
(E: 1,C: 11) Reloj 14.14360 | Camiones en Cola: 2
